Bulan;IDR/gram
May 2014;549,000.00
June 2014;557,400.00
July 2014;550,400.00
August 2014;550,800.00
September 2014;554,667.00
October 2014;547,000.00
November 2014;539,600.00
December 2014;549,800.00
January 2015;581,166.00
February 2015;564,600.00
March 2015;561,800.00
April 2015;568,285.00
May 2015;576,833.00
June 2015;576,166.00
July 2015;567,000.00
August 2015;575,500.00
September 2015;596,600.00
October 2015;582,571.00
November 2015;568,857.00
December 2015;567,000.00
January 2016;565,666.00
February 2016;588,500.00
March 2016;588,564.00
April 2016;588,000.00
May 2016;606,500.00
June 2016;610,714.00
July 2016;621,285.00
August 2016;629,666.00
September 2016;624,833.00
October 2016;619,500.00
November 2016;610,166.00
December 2016;603,600.00
January 2017;610,166.00
February 2017;612,833.00
March 2017;606,571.00
April 2017;617,333.00
May 2017;604,833.00
June 2017;606,750.00
July 2017;609,666.00
August 2017;619,000.00
September 2017;629,000.00
October 2017;640,000.00
November 2017;638,000.00
December 2017;635,000.00
January 2018;643,000.00
February 2018;658,000.00
March 2018;656,000.00
April 2018;673,000.00
May 2018;666,000.00
June 2018;660,000.00
July 2018;656,000.00
August 2018;645,000.00
September 2018;664,000.00
October 2018;679,000.00
November 2018;664,000.00
December 2018;664,000.00
January 2019;672,000.00
February 2019;680,000.00
March 2019;675,500.00
April 2019;665,000.00
May 2019;674,000.00
June 2019;688,000.00
July 2019;706,000.00
August 2019;768,000.00
September 2019;762,000.00
October 2019;767,000.00
November 2019;756,000.00
December 2019;761,000.00
January 2020;777,000.00
February 2020;788,000.00
March 2020;810,000.00
April 2020;951,000.00
May 2020;934,000.00
June 2020;895,000.00
July 2020;949,000.00
August 2020;1,030,000.00
September 2020;1,030,000.00
October 2020;1,008,000.00
November 2020;980,000.00
December 2020;962,000.00
January 2021;948,000.00
February 2021;930,000.00
March 2021;935,000.00
April 2021;937,000.00
May 2021;948,000.00
June 2021;928,000.00
July 2021;950,000.00
August 2021;946,000.00
September 2021;922,000.00
October 2021;914,000.00
November 2021;952,000.00
December 2021;924,000.00
January 2022;939,000.00
February 2022;972,000.00
March 2022;991,000.00
April 2022;1,006,000.00
May 2022;967,000.00
June 2022;984,000.00
July 2022;967,000.00
August 2022;988,000.00
September 2022;942,000.00
October 2022;940,000.00
November 2022;973,000.00
December 2022;1,013,000.00
January 2023;1,032,000.00
February 2023;1,019,000.00
March 2023;1,063,000.00
April 2023;1,066,000.00
May 2023;1,057,000.00
June 2023;1,061,000.00
July 2023;1,073,000.00
August 2023;1,060,000.00
September 2023;1,075,000.00
October 2023;1,085,000.00
November 2023;1,095,000.00
December 2023;1,114,000.00
January 2024;1,121,000.00
February 2024;1,131,000.00
March 2024;1,193,000.00
April 2024;1,321,000.00
