Periode,Harga
1,36400
2,36300
3,36300
4,36700
5,38500
6,38700
7,38200
8,37900
9,38700
10,38000
11,38500
12,37000
13,37700
14,37200
15,37000
16,37000
17,37000
18,36800
19,37000
20,37200
21,36800
22,36800
23,36800
24,38300
25,36800
26,37300
27,37300
28,37300
29,37300
30,37300
31,37100
32,37500
33,37000
34,36600
35,36200
36,36500
37,36500
38,36300
39,36100
40,37200
41,36800
42,37000
43,36700
44,36500
45,36500
46,36500
47,36700
48,35000
49,36500
50,36500
51,36200
52,37000
53,36500
54,37500
55,38300
56,36500
57,37000
58,36800
59,37300
60,38000
61,37300
62,36700
63,36800
64,36800
65,36500
66,36800
67,37300
68,36300
69,36300
70,36400
71,35500
72,36400
73,36700
74,36000
75,36500
76,36600
77,35900
78,37100
79,37100
80,36900
81,36100
82,36800
83,35600
84,35300
85,35300
86,35000
87,34900
88,34400
89,35800
90,36100
91,36400
92,36700
93,36500
94,37400
95,37000
96,36600
97,36800
98,37700
99,37200
100,37700
101,37200
102,37700
103,37000
104,37700
105,37500
106,37200
107,37000
108,36800
109,36700
110,36900
111,36700
112,37000
113,37000
114,37000
115,36700
116,37000
117,36800
118,36800
119,37000
120,37000
121,37000
122,37000
